Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Operating margin 2019,Operating margin 2020,Operating margin 2021,Weighted Average Operating margin 2019-2021
ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)","www.zara.com
www.fashionwear1.gr",31.307345,17.46834,21.701402,458.949985,351.67791,299.740253,0.07240069287590814,0.049671416666460515,0.06821515638572251,0.06347181979863493
RANDEVU,RU,Fédération de Russie,MOSCOW,"UL. SKAKOVAYA D. 17, STR. 2, KOM. 2",4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear",Wholesale,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear [source: Bureau van Dijk]","www.rendez-vous.ru
www.rest-randevu.ru",15.3730595814697,13.6424331847772,1.34749010819731,305.885437216023,230.450400476783,336.809459836145,0.004000748995746298,0.05919899968302127,0.0502575726434891,0.034774261466417
ZEEMAN TEXTIELSUPERS,FR,France,PARIS,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories,Retail,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories [source: Bureau van Dijk],www.zeeman.com,3.839119,3.082213,4.175004,163.539998,137.038689,147.293323,0.028344828638294763,0.02249155346195701,0.02347510729454699,0.02477568535707333
ANSWEAR.COM S.A.,PL,Pologne,KRAKOW,,4771.0,Commerce de détail d'habillement en magasin spécialisé,"Digital platform for the sale of branded clothing, footwear and accessories in the CEE region",Wholesale; Retail; Services,The main activities of the Company are Electronic Shopping and Mail-Order Houses.,www.answear.com,7.88564227982966,5.44609296819251,1.21767253793363,149.141088720011,89.5726935318401,73.0544924466725,0.01666800352931742,0.06080081722960141,0.052873707356620656,0.046667377557979284
REGENT GOLD,RU,Fédération de Russie,"AGALATOVSKOE SELSKOE POSELENIE, D. SKOTNOE","UL. SAVUSHKINA D. 126, LIT. A, POMESHCH. 133-N",4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.zolotoy.ru,22.3166709025715,15.7900774199501,4.56895070385942,140.67139592868,102.690046487783,116.821429322497,0.039110553006900674,0.15376443930063505,0.15864398554689815,0.11848342154734647
WOLW-POL SP. Z O.O.,PL,Pologne,WARSZAWA,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of clothing products,Wholesale,Engaged in the wholesale distribution of clothing products [source: Bureau van Dijk],www.dieselshop.pl,10.8482220426084,5.56448157991497,1.49214694446304,135.210896450719,105.496612295389,98.7613293909136,0.015108615423318946,0.05274559494227646,0.08023186242657823,0.05274372359255957
SAKURA LLC,RU,Fédération de Russie,VELIKII NOVGOROD,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,Engaged in the retail sale of footwear [source: Bureau van Dijk],"xn--23-6kca3cvbes.xn--p1ai
ilovesakura.ru/spb",-0.128553703065335,4.35471298878484,4.54472173573068,93.6612545730934,68.6219711698496,131.204665073131,0.034638415739238676,0.06345945641821155,-0.001372538769113022,0.029884984341472576
LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771.0,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"Trade with clothes, footwear, accessories.","www.hugoboss.com/ru
www.emg.ru",6.5492032834177,2.71706945177179,6.05389167635503,90.4721196925563,48.5375980782652,66.3754666872253,0.09120676627227646,0.05597865488503592,0.07238918802470086,0.07459235412705198
B & B COLLECTION SRL,RO,Roumanie,BUCURESTI SECTORUL 3,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the import and distribution of more than 100 international brands of watches and jewelry,Wholesale,Engaged in the import and distribution of more than 100 international brands of watches and jewelry [source: Bureau van Dijk],www.bbcollection.ro,11.1447430847445,6.60106559476333,10.2032153788243,88.2167311612345,69.6048335197968,86.0665534670902,0.1185502958791741,0.09483631036752461,0.12633366639232135,0.11459772731264317
GRUPPO PRITELLI S.R.L.,IT,Italie,CATTOLICA,VIA RESPIGHI 54 INT.4,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],"www.gruppopritelli.it
www.gpracingapparels.com",1.762103,0.467166,0.898372,73.890612,66.615576,62.974075,0.014265743482536265,0.007012864378745295,0.023847454396507095,0.0153707340156131
SUGAR S.R.L.,IT,Italie,AREZZO,CORSO ITALIA 60,4771.0,Commerce de détail d'habillement en magasin spécialisé,,,,"www.sugar.it
www.sugarmondialsrl.com",8.786703,7.200907,7.645169,71.76766,74.726826,76.998969,0.09928923853512896,0.09636307850142062,0.12243262494555344,0.10574259993430234
TREID MANAGEMENT,RU,Fédération de Russie,MOSCOW,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale of clothing apparel,Wholesale,Engaged in the wholesale of clothing apparel [source: Bureau van Dijk],lgcity.ru,7.6877063476918,6.46251290233139,11.4559018867656,69.6995193564136,61.7245903696345,92.8965814762028,0.12331887465310276,0.1046991622565815,0.11029783876098413,0.11414961767259327
WISE S.R.L.,IT,Italie,CREMONA,CORSO GIUSEPPE MAZZINI 71,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],"www.wiseboutique.com
www.netwise.it",1.751859,0.932504,0.863258,69.422718,64.812987,70.324041,0.012275432238030804,0.01438761031026081,0.025234664537334882,0.017342713165081857
ETERNA MODE GMBH ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,PARNDORF,,4771.0,Commerce de détail d'habillement en magasin spécialisé,,,,,-4.22772012,1.68297121,10.83142577,67.34875369,79.24065493,108.13048013,0.10016995908071345,0.021238734226600112,-0.06277354647808034,0.0325325081628515
NEW YORKER HUNGARY KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4751.0,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail trade of clothing apparels and footwear for men and women,Retail,Engaged in the retail trade of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.newyorker.de,21.5671387774725,13.0894017331872,17.3538302024257,67.0318169351289,54.9678192201782,67.2070514870856,0.25821442569549996,0.23812845259071505,0.3217448036407015,0.27488653472644076
ARENA,RU,Fédération de Russie,MOSCOW,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Retail sale of leather goods,Retail,sale of footwear and accessories,"www.noone.ru
arena-city65.ru",5.68374462405495,3.18622199849687,0.941507505142781,64.280916002155,47.7775775712287,68.9773846592702,0.013649510050193638,0.0666886468604802,0.08842040495913911,0.054196296466082934
