Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Operating margin 2019,Operating margin 2020,Operating margin 2021,Weighted Average Operating margin 2019-2021,luxury
ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771.0,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)","www.zara.com
www.fashionwear1.gr",31.307345,17.46834,21.701402,458.949985,351.67791,299.740253,0.07240069287590814,0.049671416666460515,0.06821515638572251,0.06347181979863493,LUXURY
LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771.0,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"Trade with clothes, footwear, accessories.","www.hugoboss.com/ru
www.emg.ru",6.5492032834177,2.71706945177179,6.05389167635503,90.4721196925563,48.5375980782652,66.3754666872253,0.09120676627227646,0.05597865488503592,0.07238918802470086,0.07459235412705198,LUXURY
B & B COLLECTION SRL,RO,Roumanie,BUCURESTI SECTORUL 3,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the import and distribution of more than 100 international brands of watches and jewelry,Wholesale,Engaged in the import and distribution of more than 100 international brands of watches and jewelry [source: Bureau van Dijk],www.bbcollection.ro,11.1447430847445,6.60106559476333,10.2032153788243,88.2167311612345,69.6048335197968,86.0665534670902,0.1185502958791741,0.09483631036752461,0.12633366639232135,0.11459772731264317,LUXURY
"TORRES JOALHEIROS, S.A.",PT,Portugal,LISBOA,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry,Retail,Engaged in the retail sale of watches and jewelry [source: Bureau van Dijk],"www.torres.pt
torres.pt",15.26488692,7.74969815,12.26668891,63.62610163,45.6458685,67.56634837,0.1815502717836163,0.169778742406884,0.23991548325196363,0.19951147624150248,LUXURY
NEWFASHION LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4751.0,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail sale of textiles in specialised stores,Retail,"Sale of clothing, trademark FINN FLARE.",www.finn-flare.ru,6.76779330472497,4.85261257375976,7.61213785924846,55.498227313183,46.6565864837434,83.374007454015,0.09130109121175374,0.10400702107623241,0.12194611670267447,0.10366337482260912,LUXURY
PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],"pandora.net
pandorarussia.ru",3.97448070710305,1.37627272953353,13.4259542525902,54.7207251996636,41.4944523649905,77.2855337786395,0.17371885262570214,0.03316763208314353,0.07263209127074002,0.10822265536464941,LUXURY
"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772.0,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus","www.deichmann.hr
www.deichmann.com",4.56060739441281,1.59921851184357,4.97475893624264,35.1133924595174,29.4222900327291,36.9845669756986,0.1345090491261233,0.05435397822754834,0.12988227781382225,0.10967846218713984,LUXURY
VALTER FRANCO RICCI SOCIETA' PER AZIONI SIGLABILE IN VALTER FRANCO RICCI S.P.A.,IT,Italie,ALESSANDRIA,CORSO ROMA 144,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products,Retail,Engaged in the retail sale of jewelry products [source: Bureau van Dijk],www.astrua.com,3.365818,2.323486,1.594892,32.687173,25.92786,29.563084,0.053948769350315416,0.08961348911942597,0.10297060562563792,0.08260775176226545,LUXURY
SALVADORI S.P.A.,IT,Italie,VENEZIA,SESTIERE SAN MARCO 67,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]","salvadori-venezia.com
www.salvadori-venezia.net
www.luigisalvadori.it",4.83434,2.864021,3.797238,30.120974,22.457887,28.070763,0.1352737722163092,0.1275285159285021,0.1604974659849977,0.14253753991463122,LUXURY
PERE QUERA SA,ES,Espagne,GIRONA,,4777.0,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the wholesale distribution of jewelry, watches, precious stones, and precious metals",Wholesale,"Engaged in the wholesale distribution of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.perequera.com,5.12519765,1.21799534,2.42272105,29.942786849,19.49970147,22.96078382,0.10551560735002817,0.062462255736266924,0.17116635388169174,0.12107068894857641,LUXURY
